Game Time,Home Team,Away Team,Home Wager %,Away Wager %,Home Opener Odds,Away Opener Odds
2022-04-09 20:10:00,Kansas City,Cleveland,34.82%,65.18%,-120,100
2022-04-09 23:05:00,Washington,NY Mets,30.60%,69.40%,125,-150
2022-04-09 23:20:00,Atlanta,Cincinnati,61.17%,38.83%,-165,140
2022-04-10 00:10:00,Colorado,LA Dodgers,36.14%,63.86%,135,-160
2022-04-10 00:10:00,Arizona,San Diego,35.97%,64.03%,140,-165
2022-04-10 01:07:00,LA Angels,Houston,45.86%,54.14%,-105,-115
2022-04-10 17:05:00,Philadelphia,Oakland,75.67%,24.33%,-200,170
2022-04-10 17:10:00,Detroit,Chi. White Sox,40.86%,59.14%,115,-140
2022-04-10 17:10:00,Tampa Bay,Baltimore,75.82%,24.18%,-200,165
2022-04-10 17:35:00,Washington,NY Mets,35.17%,64.83%,110,-135
2022-04-10 17:35:00,Atlanta,Cincinnati,69.25%,30.75%,-200,165
2022-04-10 17:37:00,Toronto,Texas,75.77%,24.23%,-250,200
2022-04-10 18:10:00,Kansas City,Cleveland,42.47%,57.53%,-120,100
2022-04-10 18:10:00,Minnesota,Seattle,56.28%,43.72%,-145,120
2022-04-10 18:15:00,St. Louis,Pittsburgh,79.93%,20.07%,-200,170
2022-04-10 18:20:00,Chi. Cubs,Milwaukee,41.76%,58.24%,120,-145
2022-04-10 19:10:00,Colorado,LA Dodgers,20.60%,79.40%,145,-175
2022-04-10 20:05:00,San Francisco,Miami,65.99%,34.01%,-135,110
2022-04-10 20:07:00,LA Angels,Houston,33.95%,66.05%,-105,-115
2022-04-10 20:10:00,Arizona,San Diego,25.24%,74.76%,145,-175
2022-04-10 23:08:00,NY Yankees,Boston,59.38%,40.62%,-140,115
2022-04-11 18:10:00,Kansas City,Cleveland,40.90%,59.10%,-115,-105
2022-04-11 19:05:00,Baltimore,Milwaukee,26.39%,73.61%,125,-155
2022-04-11 20:05:00,Texas,Colorado,64.99%,35.01%,-125,105
2022-04-11 21:10:00,Detroit,Boston,29.56%,70.44%,100,-120
2022-04-11 22:40:00,Tampa Bay,Oakland,72.01%,27.99%,-200,165
2022-04-11 22:45:00,Philadelphia,NY Mets,52.99%,47.01%,-145,120
2022-04-11 23:05:00,NY Yankees,Toronto,36.76%,63.24%,-115,-105
2022-04-11 23:20:00,Atlanta,Washington,74.86%,25.14%,-175,145
2022-04-11 23:40:00,Minnesota,Seattle,54.44%,45.56%,-125,105
2022-04-12 01:38:00,LA Angels,Miami,65.24%,34.76%,-145,120
2022-04-12 01:45:00,San Francisco,San Diego,57.06%,42.94%,-135,110
2022-04-12 17:10:00,Detroit,Boston,36.38%,63.62%,110,-135
2022-04-12 20:10:00,Chi. White Sox,Seattle,74.67%,25.33%,-125,105
2022-04-12 20:10:00,Cincinnati,Cleveland,44.47%,55.53%,100,-120
2022-04-12 20:12:00,Pittsburgh,Chi. Cubs,39.78%,60.22%,-110,-110
2022-04-12 22:40:00,Tampa Bay,Oakland,68.92%,31.08%,-200,170
2022-04-12 22:45:00,Philadelphia,NY Mets,59.17%,40.83%,-160,135
2022-04-12 23:05:00,NY Yankees,Toronto,45.85%,54.15%,-120,100
2022-04-12 23:05:00,Baltimore,Milwaukee,30.30%,69.70%,145,-175
2022-04-12 23:07:00,LA Angels,Miami,67.26%,32.74%,-165,140
2022-04-12 23:20:00,Atlanta,Washington,68.85%,31.15%,-160,135
2022-04-12 23:40:00,Minnesota,LA Dodgers,39.88%,60.12%,120,-145
2022-04-12 23:45:00,St. Louis,Kansas City,72.57%,27.43%,-190,155
2022-04-13 00:05:00,Texas,Colorado,47.98%,52.02%,-150,125
2022-04-13 01:40:00,Arizona,Houston,28.49%,71.51%,125,-155
2022-04-13 01:45:00,San Francisco,San Diego,47.12%,52.88%,100,-120
2022-04-13 16:20:00,Atlanta,Washington,77.59%,22.41%,-200,170
2022-04-13 16:35:00,Pittsburgh,Chi. Cubs,31.79%,68.21%,105,-125
2022-04-13 16:35:00,Cincinnati,Cleveland,43.69%,56.31%,-135,110
2022-04-13 17:05:00,Philadelphia,NY Mets,32.76%,67.24%,-125,105
2022-04-13 17:10:00,Detroit,Boston,33.12%,66.88%,-105,-115
2022-04-13 17:10:00,Minnesota,LA Dodgers,30.74%,69.26%,135,-160
2022-04-13 19:40:00,Arizona,Houston,25.50%,74.50%,125,-155
2022-04-13 19:45:00,San Francisco,San Diego,54.20%,45.80%,-125,105
2022-04-13 22:40:00,Tampa Bay,Oakland,68.33%,31.67%,-185,150
2022-04-13 23:05:00,Baltimore,Milwaukee,36.41%,63.59%,155,-190
